id;titleAr;titleFr;titleEn
1;Maison et immobilier Ar;Maison et immobilier;Home and real estate
2;Voitures Ar;Voitures;Cars
3;Informatique & Multimedia Ar;Informatique & Multimedia;IT & Multimedia
4;Bébé & Enfant AR;Bébé & Enfant;Baby & Child
5;Animaux Ar;Animaux;Animals
6;Autre Ar;Autre;Other
